step,reward,done
1333,100.75938,False
1334,95.79625,False
1335,100.755615,False
1336,95.742516,False
1337,95.779434,False
1338,95.81637,False
1339,95.80332,False
1340,100.81268,False
1341,100.77203,False
1342,95.80901,False
1343,100.868355,False
1344,100.92768,False
1345,95.864685,False
1346,95.85171,False
1347,100.761024,False
1348,95.79807,False
1349,100.80737,False
1350,100.666664,False
1351,100.625946,False
1352,95.613014,False
1353,95.65011,False
1354,100.70938,False
1355,100.718636,False
1356,95.75575,False
1357,100.765,False
1358,100.77422,False
1359,100.78345,False
1360,95.82059,False
1361,100.7298,False
1362,95.71696,False
1363,100.77615,False
1364,95.71334,False
1365,100.72253,False
1366,100.7817,False
1367,100.84086,False
1368,100.85,False
1369,95.887215,False
1370,100.84635,False
1371,100.75547,False
1372,95.742714,False
1373,100.75182,False
1374,100.81092,False
1375,95.79818,False
1376,100.75727,False
1377,95.69456,False
1378,100.75363,False
1379,95.74094,False
1380,100.75,False
1381,100.75905,False
1382,100.81809,False
1383,95.85542,False
1384,100.81445,False
1385,100.77347,False
1386,95.760826,False
1387,95.7482,False
1388,100.807205,False
1389,100.866196,False
1390,100.92518,False
1391,100.984146,False
1392,101.043106,False
1393,96.03051,False
1394,101.03945,False
1395,101.048386,False
1396,96.085815,False
1397,101.14474,False
1398,101.20365,False
1399,101.26254,False
1400,101.27143,False
1401,101.3303,False
1402,101.38916,False
1403,101.398,False
1404,96.38547,False
1405,96.42295,False
1406,101.38179,False
1407,96.4193,False
1408,96.306816,False
1409,96.19436,False
1410,96.23192,False
1411,101.24075,False
1412,101.24957,False
1413,101.30839,False
1414,96.29597,False
1415,96.23357,False
1416,101.192375,False
1417,101.15116,False
1418,101.059944,False
1419,101.06871,False
1420,96.056335,False
1421,96.04398,False
1422,101.102745,False
1423,101.01149,False
1424,101.07022,False
1425,96.05789,False
1426,101.01662,False
1427,101.02533,False
1428,101.034035,False
1429,96.07173,False
1430,96.10944,False
1431,100.96813,False
1432,96.00587,False
1433,95.893616,False
1434,95.83138,False
1435,100.89007,False
